LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2002,1.055975866,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2003,1.459475747,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2004,6.306671613,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2005,6.426575906,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2006,5.141851248,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2007,5.579332627,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2008,3.805004936,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2009,-10.85888872,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2010,9.687970264,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2011,5.625029754,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2012,-0.674804751,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2013,-0.213858263,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2014,5.528272669,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2015,3.913671554,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2016,7.451584446,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2017,5.219110728,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2018,1.976900958,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2019,1.956724801,
BEL,TRADEGOODSERV,IMP,AGRWTH,A,2020,-5.57674309,E
SWE,TRADEGOODSERV,IMP,AGRWTH,A,1995,7.218041631,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,1996,3.431779049,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,1997,12.31750212,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,1998,10.92950283,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,1999,5.409001485,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2000,12.24606162,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2001,-1.439170905,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2002,-1.03147992,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2003,3.145857069,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2004,6.836703667,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2005,6.839906467,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2006,8.329763732,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2007,8.026621069,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2008,3.055722999,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2009,-14.53530544,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2010,11.48340358,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2011,7.083975801,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2012,1.013890717,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2013,-0.199830002,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2014,6.383569597,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2015,6.060830727,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2016,4.469800124,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2017,4.72878068,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2018,3.823845708,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2019,2.12905361,
SWE,TRADEGOODSERV,IMP,AGRWTH,A,2020,-6.048838927,
EST,TRADEGOODSERV,IMP,AGRWTH,A,1995,5.341708482,E
EST,TRADEGOODSERV,IMP,AGRWTH,A,1996,7.852704933,
EST,TRADEGOODSERV,IMP,AGRWTH,A,1997,29.40302199,
EST,TRADEGOODSERV,IMP,AGRWTH,A,1998,12.99191948,
EST,TRADEGOODSERV,IMP,AGRWTH,A,1999,-5.729341259,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2000,-5.352183679,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2001,12.3654391,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2002,13.28606809,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2003,14.00283637,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2004,16.13579232,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2005,16.69934899,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2006,20.70275277,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2007,12.98195254,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2008,-6.157833786,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2009,-30.60556123,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2010,21.25693249,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2011,27.18832509,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2012,9.688149602,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2013,2.445979572,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2014,3.046873536,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2015,-1.887087788,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2016,6.497250841,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2017,3.990951146,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2018,5.927416798,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2019,3.82076634,
EST,TRADEGOODSERV,IMP,AGRWTH,A,2020,0.433313395,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,1995,15.05185869,E
HUN,TRADEGOODSERV,IMP,AGRWTH,A,1996,7.045693514,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,1997,24.02510372,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,1998,22.57416413,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,1999,13.26215975,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,2000,23.18038589,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,2001,5.849452526,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,2002,8.678166199,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,2003,9.435504413,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,2004,17.99663979,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,2005,8.039777133,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,2006,15.11451821,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,2007,14.14624429,
HUN,TRADEGOODSERV,IMP,AGRWTH,A,2008,5.892828775,
