"LOCATION","Country","MEASURE","Measure","AGE","Age group","DEFINITION","Definition","METHODO","Methodology","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,30710,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","EUR","Euro","0","Units",,,31517,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","EUR","Euro","0","Units",,,32441,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","EUR","Euro","0","Units",,,33009,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","PER","Persons","0","Units",,,8241523,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","PER","Persons","0","Units",,,8262101,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","PER","Persons","0","Units",,,8283237,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","PER","Persons","0","Units",,,8315881,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","PER","Persons","0","Units",,,8344294,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","PER","Persons","0","Units",,,8368625,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","PER","Persons","0","Units",,,8403374,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","PER","Persons","0","Units",,,8476451,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","PER","Persons","0","Units",,,8590169,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","PER","Persons","0","Units",,,8640974,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","PER","Persons","0","Units",,,8652285,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","PER","Persons","0","Units",,,8706396,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","PER","Persons","0","Units",,,8757572,,
"AUT","Austria","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","PER","Persons","0","Units",,,8796902,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2007","2007","NBR","Number","0","Units",,,3566489,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2008","2008","NBR","Number","0","Units",,,3598258,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2009","2009","NBR","Number","0","Units",,,3624300,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2010","2010","NBR","Number","0","Units",,,3650398,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","NBR","Number","0","Units",,,3674279,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","NBR","Number","0","Units",,,3701302,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","NBR","Number","0","Units",,,3761790,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","NBR","Number","0","Units",,,3809693,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","NBR","Number","0","Units",,,3862098,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","NBR","Number","0","Units",,,3886560,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","NBR","Number","0","Units",,,3911448,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","NBR","Number","0","Units",,,3943564,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","NBR","Number","0","Units",,,3990132,,
"AUT","Austria","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","NBR","Number","0","Units",,,4013636,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","EUR","Euro","0","Units",,,29457,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","EUR","Euro","0","Units",,,30845,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","EUR","Euro","0","Units",,,30904,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","EUR","Euro","0","Units",,,19934,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","EUR","Euro","0","Units",,,20845,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","EUR","Euro","0","Units",,,20997,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","EUR","Euro","0","Units",,,21957,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","EUR","Euro","0","Units",,,23073,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","EUR","Euro","0","Units",,,23375,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","EUR","Euro","0","Units",,,23664,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","EUR","Euro","0","Units",,,23959,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","EUR","Euro","0","Units",,,25436,,
"BEL","Belgium","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2013","2013","EUR","Euro","0","Units",,,25523,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","PER","Persons","0","Units",,,11295520,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","PER","Persons","0","Units",,,11363821,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","PER","Persons","0","Units",,,11398788,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","PER","Persons","0","Units",,,10360053,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","PER","Persons","0","Units",,,10413564,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","PER","Persons","0","Units",,,10472331,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","PER","Persons","0","Units",,,10535693,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","PER","Persons","0","Units",,,10622235,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","PER","Persons","0","Units",,,10712973,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","PER","Persons","0","Units",,,10814576,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2011","2011","PER","Persons","0","Units",,,10890682,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","PER","Persons","0","Units",,,10959204,,
"BEL","Belgium","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2013","2013","PER","Persons","0","Units",,,11008547,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","NBR","Number","0","Units",,,4950418,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2019","2019","NBR","Number","0","Units",,,4993966,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2020","2020","NBR","Number","0","Units",,,5031174,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","NBR","Number","0","Units",,,4476551,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","NBR","Number","0","Units",,,4517938,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","NBR","Number","0","Units",,,4541252,,
"BEL","Belgium","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","NBR","Number","0","Units",,,4581931,,
